age,marital_status,education_level,gender,percent_hike,distance_from_home,sourcing_channel,total_rounds,date_1st_contact,date_offered,satisfaction_index,no_companies_worked,career_growth,flexi_work,total_experience,timely_communication,offer_dropped,Time_to_offer
39,married,Associate Degree,Male,17,15-20 kms,Social Media,8,9/24/2015,11/3/2015,47,4,Vertical,No,15,Yes,No,40
28,married,Associate Certification,Male,10,15-20 kms,Social Media,9,10/16/2015,11/21/2015,60,3,Vertical,No,4,No,No,36
31,married,Associate Degree,Female,18,> 20 kms,Consultants,10,3/31/2015,8/26/2015,27,3,Lateral,Yes,7,No,Yes,148
29,divorced,Associate Degree,Female,35,<15 kms,Consultants,10,4/23/2015,10/20/2015,20,5,Lateral,Yes,5,No,Yes,180
40,married,Associate Certification,Male,10,15-20 kms,Consultants,7,3/13/2015,4/1/2015,74,3,Lateral,No,16,No,No,19
36,married,Associate Certification,Female,35,> 20 kms,Job Portals,10,8/20/2015,2/6/2016,30,3,Lateral,Yes,8,No,Yes,170
36,married,Bachelor Degree,Female,37,> 20 kms,Consultants,10,9/9/2015,1/28/2016,20,7,Lateral,Yes,12,No,Yes,141
35,married,Master Degree,Female,19,> 20 kms,Consultants,9,11/12/2015,4/10/2016,29,7,Lateral,Yes,11,No,Yes,150
36,married,Bachelor Degree,Female,35,<15 kms,Job Portals,9,6/7/2015,10/26/2015,24,8,Lateral,Yes,12,No,Yes,141
27,married,Bachelor Degree,Female,23,> 20 kms,Consultants,8,11/24/2015,5/4/2016,25,3,Lateral,Yes,3,No,Yes,162
39,married,Master Degree,Female,26,> 20 kms,Consultants,9,1/27/2016,7/3/2016,25,3,Lateral,Yes,12,No,Yes,158
40,married,Master Degree,Female,37,<15 kms,Consultants,9,12/17/2015,5/9/2016,27,4,Lateral,Yes,16,No,Yes,144
35,single,Associate Certification,Female,24,> 20 kms,Consultants,9,3/31/2015,9/14/2015,21,5,Lateral,Yes,11,No,Yes,167
33,married,Master Degree,Female,40,> 20 kms,Consultants,9,3/27/2015,9/11/2015,17,8,Lateral,Yes,9,No,Yes,168
39,married,Associate Certification,Female,18,> 20 kms,Social Media,9,12/25/2015,5/19/2016,23,6,Lateral,Yes,15,No,Yes,146
46,married,Bachelor Degree,Male,16,<15 kms,Company Website,3,9/25/2015,10/16/2015,35,4,Lateral,Yes,22,Yes,No,21
33,married,Associate Certification,Female,40,> 20 kms,Job Portals,10,11/24/2015,5/4/2016,15,3,Lateral,Yes,9,No,Yes,162
31,married,Associate Degree,Female,26,> 20 kms,Job Portals,8,4/5/2015,9/3/2015,22,5,Lateral,Yes,7,No,Yes,151
30,single,Associate Certification,Male,22,15-20 kms,Job Portals,5,6/5/2015,6/29/2015,29,4,Vertical,Yes,6,No,No,24
33,married,Associate Certification,Male,18,> 20 kms,Social Media,3,6/24/2015,7/30/2015,40,8,Vertical,No,9,Yes,No,36
27,married,Associate Certification,Female,19,<15 kms,Social Media,10,1/7/2015,7/3/2015,28,5,Lateral,Yes,3,No,Yes,177
37,single,Associate Degree,Male,22,15-20 kms,Job Portals,7,5/18/2015,6/14/2015,57,7,Lateral,Yes,13,Yes,No,27
38,divorced,Master Degree,Female,24,> 20 kms,Internal Referrals,8,6/16/2015,12/12/2015,17,6,Lateral,Yes,14,No,Yes,179
27,married,Associate Degree,Male,19,15-20 kms,Consultants,6,5/11/2015,5/24/2015,31,4,Vertical,Yes,3,No,No,13
29,single,Associate Degree,Male,11,<15 kms,Consultants,5,12/28/2015,1/12/2016,63,3,Vertical,No,5,No,No,15
37,married,Associate Certification,Male,29,15-20 kms,Company Website,5,7/28/2015,8/10/2015,67,4,Lateral,No,13,No,No,13
38,married,Bachelor Degree,Male,24,> 20 kms,Internal Referrals,9,4/30/2015,10/19/2015,18,6,Lateral,Yes,14,No,Yes,172
42,married,Associate Certification,Male,35,> 20 kms,Job Portals,10,11/14/2015,5/8/2016,29,6,Lateral,Yes,18,No,Yes,176
35,married,Master Degree,Male,10,<15 kms,Social Media,6,5/12/2015,5/28/2015,58,5,Vertical,Yes,11,No,No,16
38,married,Associate Degree,Male,24,<15 kms,Social Media,10,5/3/2016,10/30/2016,26,8,Lateral,Yes,14,No,Yes,180
40,married,Associate Certification,Male,36,> 20 kms,Consultants,10,3/17/2015,8/31/2015,29,3,Lateral,Yes,13,No,Yes,167
35,single,Associate Degree,Male,30,> 20 kms,Consultants,10,9/13/2015,3/3/2016,22,8,Lateral,Yes,11,No,Yes,172
42,married,Associate Certification,Male,22,> 20 kms,Social Media,8,6/16/2015,11/26/2015,24,7,Lateral,Yes,18,No,Yes,163
28,divorced,Associate Certification,Male,18,> 20 kms,Company Website,8,10/29/2015,11/12/2015,61,5,Vertical,Yes,4,No,No,14
31,married,Associate Certification,Male,27,<15 kms,Job Portals,7,2/9/2015,3/9/2015,63,5,Lateral,No,7,Yes,No,28
35,divorced,Bachelor Degree,Male,11,> 20 kms,Job Portals,3,12/24/2015,1/24/2016,36,4,Vertical,Yes,11,No,No,31
37,married,Associate Certification,Male,24,> 20 kms,Company Website,9,9/28/2015,10/3/2015,75,7,Lateral,No,13,Yes,No,5
38,married,Master Degree,Male,32,> 20 kms,Consultants,9,6/16/2015,12/2/2015,15,5,Lateral,Yes,14,No,Yes,169
38,married,Master Degree,Male,19,> 20 kms,Job Portals,9,12/20/2015,5/23/2016,21,7,Lateral,Yes,14,No,Yes,155
25,married,Associate Certification,Male,20,> 20 kms,Consultants,10,10/15/2015,4/12/2016,23,1,Lateral,Yes,1,No,Yes,180
25,married,Bachelor Degree,Male,17,<15 kms,Social Media,3,3/30/2016,4/15/2016,80,1,Lateral,No,1,Yes,No,16
43,single,Associate Certification,Male,22,> 20 kms,Consultants,8,11/29/2015,5/25/2016,20,6,Lateral,Yes,19,No,Yes,178
40,married,Master Degree,Male,27,15-20 kms,Consultants,7,2/11/2015,3/14/2015,25,7,Lateral,No,16,Yes,No,31
42,married,Associate Degree,Male,25,<15 kms,Internal Referrals,10,2/6/2015,8/3/2015,16,8,Lateral,Yes,18,No,Yes,178
43,married,Associate Degree,Male,32,> 20 kms,Consultants,10,12/17/2015,6/10/2016,27,6,Lateral,Yes,19,No,Yes,176
38,married,Bachelor Degree,Male,34,<15 kms,Internal Referrals,10,11/24/2015,5/1/2016,17,6,Lateral,Yes,14,No,Yes,159
32,married,Associate Certification,Male,18,<15 kms,Social Media,10,6/23/2016,11/14/2016,22,6,Lateral,Yes,8,No,Yes,144
25,single,Bachelor Degree,Male,17,> 20 kms,Consultants,3,11/14/2015,12/23/2015,46,1,Lateral,Yes,1,Yes,No,39
44,married,Associate Degree,Male,26,<15 kms,Job Portals,3,11/13/2015,11/15/2015,52,7,Lateral,Yes,20,No,No,2
28,married,Associate Certification,Male,37,<15 kms,Social Media,9,12/24/2015,5/16/2016,29,3,Lateral,Yes,4,No,Yes,144
36,married,Associate Certification,Male,10,> 20 kms,Company Website,3,5/18/2016,5/31/2016,81,7,Lateral,No,12,No,No,13
28,married,Associate Certification,Male,17,<15 kms,Company Website,4,2/5/2015,3/11/2015,32,4,Vertical,No,4,Yes,No,34
25,married,Associate Degree,Male,19,> 20 kms,Social Media,7,10/19/2015,10/21/2015,91,1,Lateral,No,1,No,No,2
28,married,Bachelor Degree,Male,16,> 20 kms,Internal Referrals,8,7/18/2015,1/6/2016,20,3,Lateral,Yes,4,No,Yes,172
26,married,Bachelor Degree,Male,24,> 20 kms,Internal Referrals,8,2/3/2015,6/24/2015,26,2,Lateral,Yes,2,No,Yes,141
31,single,Associate Degree,Male,25,<15 kms,Internal Referrals,8,6/29/2015,11/20/2015,25,5,Lateral,Yes,7,No,Yes,144
27,married,Associate Certification,Male,25,> 20 kms,Job Portals,9,3/27/2015,9/20/2015,28,5,Lateral,Yes,3,No,Yes,177
43,married,Master Degree,Male,22,> 20 kms,Job Portals,9,8/20/2015,1/8/2016,22,8,Lateral,Yes,19,No,Yes,141
40,divorced,Master Degree,Male,17,<15 kms,Consultants,8,9/13/2015,2/9/2016,20,4,Lateral,Yes,16,No,Yes,149
44,married,Associate Certification,Male,20,> 20 kms,Social Media,9,7/8/2016,12/10/2016,19,7,Lateral,Yes,20,No,Yes,155
36,married,Associate Certification,Male,34,> 20 kms,Internal Referrals,9,8/20/2015,1/17/2016,18,3,Lateral,Yes,8,No,Yes,150
34,married,Associate Certification,Male,11,<15 kms,Consultants,4,5/11/2015,6/12/2015,53,6,Vertical,Yes,10,Yes,No,32
41,married,Associate Degree,Male,14,> 20 kms,Social Media,5,10/16/2015,10/23/2015,78,6,Lateral,Yes,17,No,No,7
41,married,Associate Certification,Male,13,> 20 kms,Social Media,3,3/22/2016,4/10/2016,58,6,Vertical,Yes,17,Yes,No,19
31,divorced,Associate Degree,Male,11,> 20 kms,Job Portals,8,2/1/2016,2/2/2016,29,4,Vertical,No,7,Yes,No,1
39,married,Associate Certification,Male,19,15-20 kms,Social Media,10,1/5/2015,1/28/2015,68,8,Vertical,Yes,15,No,No,23
33,married,Associate Certification,Male,26,<15 kms,Job Portals,9,5/25/2015,6/21/2015,51,5,Vertical,No,9,No,No,27
27,single,Associate Certification,Male,16,<15 kms,Consultants,9,5/25/2015,7/1/2015,80,5,Vertical,No,6,Yes,No,37
34,single,Associate Certification,Male,16,15-20 kms,Social Media,4,2/20/2016,2/25/2016,63,7,Vertical,Yes,10,No,No,5
41,married,Bachelor Degree,Male,18,> 20 kms,Consultants,10,5/22/2015,10/15/2015,29,4,Lateral,Yes,17,No,Yes,146
32,married,Bachelor Degree,Male,29,<15 kms,Company Website,3,3/14/2016,4/9/2016,80,5,Vertical,Yes,8,Yes,No,26
34,married,Associate Degree,Male,13,<15 kms,Company Website,5,3/7/2015,3/15/2015,79,7,Lateral,Yes,10,Yes,No,8
41,married,Master Degree,Male,38,> 20 kms,Internal Referrals,9,11/24/2015,4/15/2016,16,8,Lateral,Yes,17,No,Yes,143
42,married,Associate Degree,Male,22,> 20 kms,Internal Referrals,10,6/16/2015,12/3/2015,18,5,Lateral,Yes,9,No,Yes,170
35,married,Associate Degree,Male,27,> 20 kms,Social Media,8,3/31/2015,9/6/2015,29,7,Lateral,Yes,11,No,Yes,159
31,married,Associate Certification,Male,30,<15 kms,Consultants,8,1/8/2015,6/7/2015,29,3,Lateral,Yes,7,No,Yes,150
33,married,Master Degree,Male,21,> 20 kms,Consultants,10,12/17/2015,6/14/2016,25,5,Lateral,Yes,9,No,Yes,180
30,single,Bachelor Degree,Male,31,> 20 kms,Social Media,10,9/11/2015,2/16/2016,20,4,Lateral,Yes,6,No,Yes,158
44,married,Bachelor Degree,Male,11,<15 kms,Consultants,3,11/13/2015,12/5/2015,91,3,Lateral,Yes,20,No,No,22
26,married,Associate Certification,Male,18,15-20 kms,Consultants,3,4/2/2016,4/16/2016,80,1,Vertical,No,2,No,No,14
36,married,Associate Degree,Male,17,<15 kms,Company Website,3,8/25/2015,9/18/2015,81,3,Lateral,Yes,12,Yes,No,24
38,married,Master Degree,Male,11,> 20 kms,Social Media,3,7/18/2015,8/7/2015,95,3,Lateral,Yes,14,No,No,20
40,married,Master Degree,Male,39,> 20 kms,Consultants,9,9/24/2015,2/12/2016,23,7,Lateral,Yes,16,No,Yes,141
38,married,Master Degree,Male,18,> 20 kms,Social Media,10,1/20/2016,6/8/2016,21,3,Lateral,Yes,11,No,Yes,140
37,married,Bachelor Degree,Male,18,<15 kms,Job Portals,3,4/2/2016,4/28/2016,74,8,Lateral,No,13,No,No,26
32,married,Associate Degree,Male,26,<15 kms,Internal Referrals,8,4/26/2015,10/16/2015,23,6,Lateral,Yes,8,No,Yes,173
44,single,Associate Certification,Male,10,15-20 kms,Job Portals,8,7/10/2015,8/8/2015,72,6,Vertical,Yes,20,Yes,No,29
27,single,Associate Degree,Male,27,> 20 kms,Consultants,8,12/24/2015,6/9/2016,30,4,Lateral,Yes,3,No,Yes,168
44,divorced,Associate Certification,Male,16,> 20 kms,Job Portals,3,1/3/2015,1/4/2015,69,6,Lateral,Yes,20,Yes,No,1
36,divorced,Associate Certification,Male,16,> 20 kms,Consultants,5,12/24/2015,1/13/2016,52,7,Lateral,Yes,12,Yes,No,20
37,married,Master Degree,Male,16,> 20 kms,Consultants,7,12/20/2015,12/25/2015,52,3,Lateral,Yes,13,Yes,No,5
44,married,Associate Degree,Male,13,15-20 kms,Job Portals,10,5/27/2015,5/28/2015,37,7,Lateral,No,20,No,No,1
34,married,Bachelor Degree,Male,40,> 20 kms,Social Media,10,3/23/2016,8/27/2016,25,3,Lateral,Yes,6,No,Yes,157
35,married,Bachelor Degree,Male,33,<15 kms,Internal Referrals,8,12/17/2015,6/5/2016,24,3,Lateral,Yes,7,No,Yes,171
37,married,Associate Certification,Male,28,> 20 kms,Social Media,9,3/31/2015,9/10/2015,27,8,Lateral,Yes,13,No,Yes,163
30,married,Bachelor Degree,Male,19,<15 kms,Consultants,9,2/27/2016,7/26/2016,16,4,Lateral,Yes,6,No,Yes,150
33,married,Bachelor Degree,Male,21,> 20 kms,Consultants,10,12/25/2015,5/28/2016,30,3,Lateral,Yes,9,No,Yes,155
33,single,Associate Degree,Male,23,> 20 kms,Consultants,9,11/8/2015,4/19/2016,26,4,Lateral,Yes,9,No,Yes,163
31,single,Bachelor Degree,Male,35,> 20 kms,Social Media,10,10/16/2015,4/7/2016,15,5,Lateral,Yes,7,No,Yes,174
39,single,Associate Degree,Male,26,15-20 kms,Job Portals,7,2/15/2016,3/6/2016,28,6,Vertical,No,15,Yes,No,20
40,married,Associate Degree,Male,38,> 20 kms,Social Media,10,2/3/2015,7/18/2015,20,8,Lateral,Yes,16,No,Yes,165
37,married,Associate Certification,Male,14,<15 kms,Social Media,4,3/17/2015,3/18/2015,49,7,Vertical,Yes,13,No,No,1
30,single,Associate Certification,Male,34,> 20 kms,Job Portals,8,6/16/2015,11/8/2015,16,4,Lateral,Yes,6,No,Yes,145
40,married,Associate Certification,Male,23,<15 kms,Job Portals,10,4/18/2015,9/27/2015,15,4,Lateral,Yes,10,No,Yes,162
26,single,Associate Certification,Male,24,<15 kms,Job Portals,8,10/25/2015,3/25/2016,25,1,Lateral,Yes,2,No,Yes,152
28,single,Associate Certification,Male,16,<15 kms,Social Media,10,11/24/2015,4/19/2016,19,4,Lateral,Yes,4,No,Yes,147
35,married,Bachelor Degree,Male,10,15-20 kms,Job Portals,5,3/2/2016,3/10/2016,64,7,Lateral,No,11,Yes,No,8
36,married,Master Degree,Male,26,15-20 kms,Job Portals,9,8/25/2015,9/16/2015,62,7,Lateral,No,12,No,No,22
43,divorced,Bachelor Degree,Male,19,<15 kms,Job Portals,9,6/19/2015,7/13/2015,78,6,Vertical,Yes,19,Yes,No,24
33,single,Master Degree,Male,16,<15 kms,Job Portals,9,3/7/2015,8/23/2015,19,4,Lateral,Yes,9,No,Yes,169
45,married,Associate Degree,Male,18,> 20 kms,Job Portals,3,12/28/2015,1/15/2016,94,4,Vertical,No,21,Yes,No,18
35,single,Associate Certification,Male,26,<15 kms,Internal Referrals,8,6/7/2015,10/28/2015,19,6,Lateral,Yes,11,No,Yes,143
45,married,Bachelor Degree,Male,22,> 20 kms,Social Media,10,12/25/2015,5/13/2016,17,7,Lateral,Yes,21,No,Yes,140
42,married,Master Degree,Male,12,> 20 kms,Consultants,3,5/16/2016,5/31/2016,90,4,Vertical,Yes,18,Yes,No,15
37,married,Associate Certification,Male,20,> 20 kms,Social Media,10,4/3/2016,4/12/2016,64,3,Vertical,Yes,13,Yes,No,9
31,married,Associate Degree,Male,27,<15 kms,Company Website,3,4/1/2016,4/11/2016,86,5,Vertical,No,7,Yes,No,10
28,married,Associate Degree,Male,26,> 20 kms,Internal Referrals,8,8/16/2015,2/3/2016,27,4,Lateral,Yes,4,No,Yes,171
44,married,Master Degree,Male,26,<15 kms,Social Media,9,5/25/2015,10/29/2015,29,5,Lateral,Yes,20,No,Yes,157
28,married,Associate Degree,Male,26,15-20 kms,Job Portals,10,10/16/2015,10/18/2015,73,5,Vertical,No,4,No,No,2
45,single,Associate Certification,Male,20,15-20 kms,Social Media,7,11/14/2015,11/17/2015,44,4,Lateral,Yes,21,Yes,No,3
31,married,Associate Certification,Male,23,<15 kms,Internal Referrals,10,2/20/2016,8/18/2016,25,5,Lateral,Yes,7,No,Yes,180
44,married,Master Degree,Male,21,> 20 kms,Consultants,10,8/16/2015,2/5/2016,18,6,Lateral,Yes,20,No,Yes,173
43,married,Bachelor Degree,Male,25,<15 kms,Social Media,8,1/12/2015,6/24/2015,23,6,Lateral,Yes,19,No,Yes,163
41,married,Associate Degree,Male,24,> 20 kms,Consultants,10,7/22/2015,12/10/2015,24,6,Lateral,Yes,17,No,Yes,141
42,married,Associate Degree,Male,21,> 20 kms,Social Media,9,2/27/2016,8/22/2016,19,6,Lateral,Yes,18,No,Yes,177
37,divorced,Bachelor Degree,Male,16,15-20 kms,Social Media,10,8/11/2015,9/3/2015,45,4,Vertical,No,13,No,No,23
26,married,Associate Degree,Male,19,15-20 kms,Consultants,3,7/18/2015,8/24/2015,73,2,Lateral,Yes,2,No,No,37
39,married,Master Degree,Male,18,15-20 kms,Consultants,6,10/19/2015,11/14/2015,76,4,Lateral,No,15,No,No,26
38,married,Bachelor Degree,Male,10,> 20 kms,Social Media,8,11/10/2015,11/24/2015,63,6,Lateral,Yes,14,Yes,No,14
45,single,Master Degree,Male,33,> 20 kms,Social Media,10,4/13/2016,9/3/2016,24,8,Lateral,No,21,No,Yes,143
25,married,Associate Degree,Male,18,<15 kms,Social Media,10,6/16/2015,11/17/2015,27,1,Lateral,No,1,No,Yes,154
35,married,Associate Certification,Male,11,15-20 kms,Social Media,9,4/8/2015,5/11/2015,33,6,Vertical,Yes,11,No,No,33
27,married,Bachelor Degree,Male,27,> 20 kms,Internal Referrals,8,3/31/2015,8/23/2015,27,4,Lateral,Yes,3,No,Yes,145
45,married,Associate Degree,Male,26,> 20 kms,Job Portals,9,12/24/2015,6/7/2016,30,6,Lateral,No,21,No,Yes,166
41,married,Master Degree,Male,22,<15 kms,Consultants,9,10/25/2015,4/6/2016,20,4,Lateral,Yes,11,No,Yes,164
35,married,Master Degree,Male,25,> 20 kms,Social Media,10,11/29/2015,5/8/2016,24,7,Lateral,Yes,11,No,Yes,161
31,married,Associate Degree,Male,11,15-20 kms,Job Portals,3,2/15/2016,3/7/2016,55,4,Lateral,Yes,7,Yes,No,21
37,divorced,Master Degree,Male,23,<15 kms,Company Website,5,11/11/2015,12/11/2015,40,6,Lateral,No,13,Yes,No,30
29,married,Associate Certification,Male,12,> 20 kms,Consultants,3,6/5/2015,6/22/2015,86,3,Lateral,Yes,5,No,No,17
39,married,Associate Certification,Male,24,> 20 kms,Internal Referrals,9,6/8/2016,11/21/2016,20,7,Lateral,No,15,No,Yes,166
30,married,Associate Certification,Male,25,<15 kms,Consultants,8,1/15/2016,7/4/2016,29,5,Lateral,No,6,No,Yes,171
34,married,Associate Degree,Male,29,> 20 kms,Company Website,7,3/29/2015,4/22/2015,40,8,Vertical,No,10,No,No,24
44,married,Associate Degree,Male,24,> 20 kms,Consultants,9,12/17/2015,5/25/2016,24,8,Lateral,No,20,No,Yes,160
40,married,Associate Degree,Male,16,<15 kms,Consultants,9,12/19/2015,5/9/2016,22,6,Lateral,Yes,16,No,Yes,142
37,single,Associate Degree,Male,28,> 20 kms,Job Portals,9,4/15/2015,10/5/2015,17,7,Lateral,Yes,13,No,Yes,173
32,married,Associate Certification,Male,14,15-20 kms,Consultants,8,2/2/2016,2/23/2016,45,5,Vertical,No,8,No,No,21
42,single,Associate Degree,Male,22,<15 kms,Company Website,3,9/24/2015,10/21/2015,76,7,Lateral,Yes,18,No,No,27
33,married,Master Degree,Male,30,<15 kms,Consultants,9,11/29/2015,5/6/2016,28,5,Lateral,Yes,9,No,Yes,159
41,married,Bachelor Degree,Male,12,<15 kms,Job Portals,4,10/15/2015,11/17/2015,34,5,Vertical,No,17,No,No,33
26,married,Associate Certification,Male,22,<15 kms,Internal Referrals,8,3/27/2015,9/20/2015,28,1,Lateral,No,2,No,Yes,177
29,married,Associate Certification,Male,22,15-20 kms,Job Portals,6,8/25/2015,9/10/2015,91,3,Vertical,No,5,No,No,16
46,married,Associate Certification,Male,28,<15 kms,Social Media,10,3/14/2016,4/23/2016,55,7,Lateral,No,22,No,No,40
35,married,Associate Certification,Male,23,<15 kms,Consultants,8,4/18/2015,10/13/2015,26,7,Lateral,Yes,11,No,Yes,178
45,married,Master Degree,Male,21,> 20 kms,Internal Referrals,9,8/16/2015,1/28/2016,18,5,Lateral,Yes,21,No,Yes,165
43,single,Master Degree,Male,13,15-20 kms,Job Portals,4,10/20/2015,11/23/2015,91,5,Vertical,No,19,Yes,No,34
31,married,Associate Degree,Male,21,> 20 kms,Consultants,9,5/27/2015,10/29/2015,29,3,Lateral,Yes,7,No,Yes,155
28,married,Associate Certification,Male,30,> 20 kms,Job Portals,9,10/20/2015,4/9/2016,18,4,Lateral,No,4,No,Yes,172
34,married,Master Degree,Male,21,<15 kms,Company Website,7,1/27/2016,2/13/2016,54,3,Vertical,Yes,10,No,No,17
26,married,Associate Degree,Male,20,<15 kms,Internal Referrals,8,5/27/2015,11/2/2015,19,1,Lateral,No,2,No,Yes,159
37,divorced,Master Degree,Male,18,> 20 kms,Internal Referrals,10,7/31/2015,1/2/2016,25,5,Lateral,Yes,13,No,Yes,155
41,married,Master Degree,Male,26,> 20 kms,Consultants,3,11/14/2015,11/15/2015,67,5,Lateral,Yes,17,No,No,1
44,single,Associate Certification,Male,22,<15 kms,Consultants,8,1/19/2016,2/10/2016,44,6,Vertical,Yes,20,No,No,22
35,married,Bachelor Degree,Male,22,<15 kms,Internal Referrals,9,11/24/2015,5/12/2016,19,7,Lateral,Yes,11,No,Yes,170
35,married,Associate Degree,Male,18,<15 kms,Consultants,3,12/11/2015,1/4/2016,91,5,Lateral,Yes,11,Yes,No,24
29,married,Associate Degree,Male,17,<15 kms,Consultants,9,2/2/2016,2/8/2016,82,3,Lateral,Yes,5,Yes,No,6
28,single,Associate Certification,Male,29,<15 kms,Job Portals,8,8/17/2015,1/11/2016,16,3,Lateral,No,4,No,Yes,147
31,single,Associate Certification,Male,18,<15 kms,Social Media,10,1/20/2016,2/15/2016,38,3,Vertical,No,7,Yes,No,26
31,married,Bachelor Degree,Male,21,> 20 kms,Job Portals,8,2/15/2016,7/11/2016,16,4,Lateral,No,7,No,Yes,147
34,married,Master Degree,Male,19,> 20 kms,Social Media,9,10/15/2015,3/9/2016,26,5,Lateral,Yes,10,No,Yes,146
41,married,Associate Certification,Male,16,<15 kms,Social Media,9,10/15/2015,4/9/2016,17,7,Lateral,No,17,No,Yes,177
36,married,Associate Certification,Male,14,<15 kms,Job Portals,3,8/13/2015,8/30/2015,50,5,Lateral,Yes,12,Yes,No,17
45,married,Associate Degree,Male,20,> 20 kms,Consultants,9,5/27/2015,10/15/2015,25,8,Lateral,Yes,21,No,Yes,141
40,married,Associate Degree,Male,17,> 20 kms,Social Media,10,12/9/2015,1/11/2016,93,3,Vertical,No,16,Yes,No,33
32,single,Associate Degree,Male,24,<15 kms,Consultants,8,11/12/2015,4/28/2016,29,4,Lateral,Yes,8,No,Yes,168
31,married,Associate Degree,Male,10,15-20 kms,Company Website,7,7/17/2015,8/23/2015,92,3,Lateral,Yes,7,Yes,No,37
32,married,Associate Certification,Male,24,15-20 kms,Company Website,3,4/26/2015,4/27/2015,92,3,Lateral,No,8,Yes,No,1
43,married,Master Degree,Male,19,<15 kms,Company Website,7,11/13/2015,11/29/2015,59,8,Lateral,No,19,No,No,16
25,married,Associate Degree,Male,19,> 20 kms,Social Media,8,5/22/2015,11/14/2015,20,1,Lateral,Yes,1,No,Yes,176
40,married,Associate Degree,Male,28,> 20 kms,Internal Referrals,10,2/20/2016,7/28/2016,17,6,Lateral,Yes,16,No,Yes,159
28,married,Associate Certification,Male,13,15-20 kms,Job Portals,5,2/1/2016,2/3/2016,27,4,Lateral,Yes,4,No,No,2
35,married,Bachelor Degree,Male,23,> 20 kms,Consultants,9,8/20/2015,2/8/2016,28,7,Lateral,No,11,No,Yes,172
38,divorced,Master Degree,Male,25,> 20 kms,Social Media,8,3/21/2015,8/10/2015,23,6,Lateral,Yes,14,No,Yes,142
25,married,Associate Certification,Male,23,> 20 kms,Job Portals,4,11/14/2015,11/26/2015,34,2,Lateral,No,2,Yes,No,12
32,married,Associate Degree,Male,20,> 20 kms,Job Portals,10,12/20/2015,5/12/2016,30,3,Lateral,No,8,No,Yes,144
27,married,Associate Degree,Male,15,> 20 kms,Job Portals,3,2/4/2015,2/26/2015,36,3,Vertical,No,3,No,No,22
36,single,Master Degree,Male,17,<15 kms,Job Portals,10,3/17/2015,8/31/2015,28,5,Lateral,No,12,No,Yes,167
33,married,Associate Certification,Male,18,> 20 kms,Consultants,10,4/5/2015,9/23/2015,27,8,Lateral,Yes,9,No,Yes,171
44,married,Associate Degree,Male,16,15-20 kms,Company Website,7,10/16/2015,11/21/2015,71,8,Lateral,Yes,20,No,No,36
39,single,Master Degree,Male,25,<15 kms,Consultants,9,7/15/2015,12/10/2015,26,7,Lateral,No,15,No,Yes,148
33,married,Bachelor Degree,Male,24,> 20 kms,Job Portals,10,3/5/2015,8/16/2015,26,5,Lateral,Yes,9,No,Yes,164
28,married,Bachelor Degree,Male,24,> 20 kms,Consultants,9,3/31/2015,9/13/2015,19,5,Lateral,Yes,4,No,Yes,166
46,married,Associate Degree,Male,14,15-20 kms,Company Website,6,10/9/2015,10/26/2015,44,5,Vertical,Yes,22,No,No,17
34,single,Bachelor Degree,Male,19,15-20 kms,Social Media,3,7/13/2015,8/15/2015,59,6,Lateral,No,10,No,No,33
28,married,Associate Certification,Male,12,<15 kms,Social Media,3,7/18/2015,7/25/2015,31,4,Vertical,Yes,4,Yes,No,7
33,single,Associate Certification,Male,29,> 20 kms,Consultants,8,5/27/2015,10/31/2015,24,6,Lateral,No,9,No,Yes,157
42,married,Bachelor Degree,Male,12,<15 kms,Company Website,6,1/21/2016,2/11/2016,36,8,Lateral,No,18,No,No,21
41,single,Associate Degree,Male,19,<15 kms,Social Media,3,4/2/2016,4/18/2016,65,8,Vertical,Yes,17,No,No,16
41,married,Master Degree,Male,25,> 20 kms,Job Portals,3,3/8/2015,3/31/2015,50,3,Vertical,No,17,No,No,23
41,single,Associate Degree,Male,18,> 20 kms,Consultants,10,11/14/2015,4/14/2016,19,8,Lateral,Yes,17,No,Yes,152
32,married,Associate Degree,Male,13,<15 kms,Social Media,7,12/11/2015,1/4/2016,78,3,Vertical,Yes,8,Yes,No,24
34,divorced,Bachelor Degree,Male,11,> 20 kms,Job Portals,9,3/29/2015,4/15/2015,71,4,Vertical,No,10,No,No,17
43,married,Master Degree,Male,10,<15 kms,Social Media,9,4/5/2015,4/20/2015,63,7,Vertical,Yes,19,Yes,No,15
30,married,Associate Certification,Male,26,<15 kms,Consultants,9,6/16/2015,12/5/2015,30,5,Lateral,No,6,No,Yes,172
41,married,Bachelor Degree,Male,17,15-20 kms,Job Portals,8,3/20/2016,3/30/2016,35,6,Vertical,Yes,17,No,No,10
35,married,Bachelor Degree,Male,18,15-20 kms,Consultants,5,8/29/2015,9/13/2015,34,3,Lateral,Yes,11,Yes,No,15
28,single,Bachelor Degree,Male,25,> 20 kms,Consultants,9,12/24/2015,5/28/2016,22,3,Lateral,No,4,No,Yes,156
39,single,Master Degree,Male,19,> 20 kms,Consultants,8,11/14/2015,4/28/2016,21,3,Lateral,Yes,12,No,Yes,166
37,divorced,Bachelor Degree,Male,19,> 20 kms,Job Portals,9,12/11/2015,5/14/2016,18,8,Lateral,No,13,No,Yes,155
30,married,Associate Certification,Male,25,15-20 kms,Job Portals,10,6/21/2015,7/15/2015,74,4,Lateral,Yes,6,No,No,24
